,location,topics,author,title
50,Marriage,Marriage,"Dr. Gary Smalley, Mr. Ted Cunningham",As Long as We Both Shall Live: Experiencing the Marriage You've Always Wanted
51,Christian Living,Christian Living,Gary L. Thomas,Authentic Faith: The Power of a Fire-Tested Life
52,Reference,Reference,J. Carl Laney,Baker's Concise Bible Atlas: A Geographical Survey of Bible History
53,Christian Living,Christian Living,John R. W. Stott,Basic Christianity
54,Evangelism,Evangelism,"Bill Hybels, Mark Mittelberg",Becoming a Contagious Christian
55,Christian Living,Christian Living,Jean Vanier,Becoming Human
56,Marriage,"Christian Living, Marriage",Les and Leslie Parrott,Becoming Soul Mates
57,Personal Growth,Personal Growth,"Charles H. Kraft, Tom White, Ed Murphy",Behind Enemy Lines: An Advanced Guide to Spiritual Warfare
58,Christian Living,Christian Living,"Charles Colson, Ellen Vaughn",Being The Body
59,Devotionals,Devotionals,Kay Arthur,Beloved: From God's Heart to Yours: A Daily Devotional
60,Reference,Reference,Richard N. Longenecker,Biblical Exegesis in the Apostolic Period
61,Reference,Reference,Karlfried Froehlich,Biblical Interpretation in the Early Church
62,Worship ,Worship ,Robert E. Webber,Blended Worship: Achieving Substance and Relevance in Worship
63,Biography,"Biography, Christian Living",Donald Miller,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality
64,Missions,Missions,,Bonding and the Missionary Task: Establishing a Sense of Belonging / Language Learning is Communication - Is Ministry
65,Biography,Biography,Charles W. Colson,Born Again
66,Marriage,Marriage,"Henry Cloud, John Townsend",Boundaries in Marriage
67,Family,Family,John Townsend,"Boundaries with Teens: When to Say Yes, How to Say No"
68,Marriage,Marriage,Joshua Harris,Boy Meets Girl: Say Hello to Courtship
69,Compassion/Social Justice,Compassion/Social Justice,Richard LeMieux,Breakfast at Sally's: One Homeless Man's Inspirational Journey
70,Christian Living,Christian Living,Beth Moore,Breaking Free: Making Liberty in Christ a Reality in Life
71,Ministry,Ministry,Alan Loy McGinnis,Bringing Out the Best in People: How to Enjoy Helping Others Excel
72,Family,Family,James C. Dobson,Bringing Up Boys: Practical Advice and Encouragement for Those Shaping the Next Generation of Men
73,Biography,Biography,Bruce R. Olson,Bruchko
74,Personal Growth,Personal Growth,Walt Larimore MD,God's Design for the Highly Healthy Person [Paperback]
75,Biography,"Christian Living, Biography",Catherine Swift,C.S. Lewis
76,Work/Money,Work/Money,"Judith Allen Shelly, Arlene B. Miller",Called to Care: A Christian Theology of Nursing
77,Apologetics,"Apologetics, Christian Living",Ravi K. Zacharias,Can Man Live Without God
78,Marriage,Marriage,Sabrina Black,Can Two Walk Together? Encouragement for Spiritually Unbalanced Marriages
79,Women's,Women's,"John Eldredge, Stasi Eldredge",Captivating: Unveiling the Mystery of a Woman's Soul
80,Reference,Reference,Thomas P. Rausch,Catholics and Evangelicals: Do They Share a Common Future?
81,Christian Living,Christian Living,Richard J. Foster,Celebration of Discipline: The Path to Spiritual Growth
82,Personal Growth,Personal Growth,Henry Cloud,Changes That Heal
83,Personal Growth,Personal Growth,"Katherine Brazelton, Shelley Leith",Character Makeover: 40 Days with a Life Coach to Create the Best You
84,Missions,Missions,"Dith Pran, Kim DePaul",Children of Cambodia's Killing Fields: Memoirs by Survivors
85,Missions,Missions,Paul Hattaway,China's Book of Martyrs
86,Women's,Women's,Mary Farrar,Choices: For Women Who Long to Discover Life's Best
87,Christian Living,Christian Living,Kay Warren,Choose Joy: Because Happiness Isn't Enough
88,Christian Living,Christian Living,"Bill Hull, Dallas Willard",Choose the Life: Exploring a Faith that Embraces Discipleship
89,Family,Family,"James Dobson, Charles Swindoll, James Montgomery Boice, R. C. Sproul",Christ in Christmas: A Family Advent Celebration
90,Christian Living,Christian Living,Eugene H. Peterson,Christ Plays in Ten Thousand Places: A Conversation in Spiritual Theology
91,Christian Living,Christian Living,F. F. Bosworth,Christ the Healer
92,Apologetics,Apologetics,Norman L. Geisler,Christian Apologetics
93,Missions,"Missions, Apologetics",William A. Dryness,Christian Apologetics in a World Community
94,Missions,Missions,John Stott,Christian Mission in the Modern World
95,culture,culture,George G Hunter III,"Christian, Evangelical, & Democrat?"
96,Missions,Missions,S. Devasagayam Ponraj,Church growth studies in mission: Principles and practices of church growth in Indian mission context
97,Ministry,Ministry,Jim Putman,Church Is a Team Sport: A Championship Strategy for Doing Ministry Together
98,Christian Living,Christian Living,Max Lucado,Come Thirsty: No Heart Too Dry for His Touch
99,Commentary,Commentary,John Eadie,Commentary on the Epistle of Paul to the Colossians. Classic Commentary Library
100,Missions,Missions,"E. Thomas Brewster, Elizabeth S. Brewster",Community Is My Language Classroom!: Real-Life Stories from Around the World of Language Learning and Missionary Ministry by Those Who Are Learning T
101,Evangelism,Evangelism,Gary M Beasley,Complete evangelism: Fitting the pieces of evangelism together
102,Grief,Grief,Zig Ziglar,Confessions of a Grieving Christian
103,Apologetics,"Apologetics, Culture",Douglas R. Groothuis,Confronting the New Age: How to Resist a Growing Religious Movement
104,Personal Growth,Personal Growth,Dr. Larry Crabb,Connecting
105,Ministry,"Christian Living, Ministry","Paul D Stanley, Robert Clinton",Connecting: The Mentoring Relationships You Need to Succeed
106,Christian Living,Christian Living,Jon Walker,Costly Grace: A Contemporary View of Bonhoeffer's The Cost of Discipleship
107,Ministry,Ministry,Steven James,Crazy & Creative Bible Stories for Preteens
108,Christian Living,Christian Living,Francis Chan,Crazy Love: Overwhelmed by a Relentless God
109,Christian Living,Christian Living,Kevin Baerg,"Created For Excellence, 12 Keys to Godly Success"
110,Men's,Men's,Leanne Payne,Crisis in Masculinity
111,Compassion/Social Justice,Compassion/Social Justice,Ronald Sider,Cry Justice: The Bible on Hunger and Poverty
112,culture ,culture,James Davison Hunter,"Culture Wars: The Struggle To Control The Family, Art, Education, Law, And Politics In America"
113,Christian Living,Christian Living,Max Lucado,Cure for the Common Life: Living in Your Sweet Spot
114,Biography,Biography,Faith Coxe Bailey,D. L. Moody: The Valley and the World
115,Missions,Missions,Sylvia Foth,"Daddy, Are We There Yet?"
116,Women's,Women's,Martha Peace,Damsels in Distress: Biblical Solutions for Problems Women Face
117,Christian Living,Christian Living,Kay Warren,Dangerous Surrender: What Happens When You Say Yes to God
118,Apologetics,Apologetics,Phillip E. Johnson,Darwin on Trial
119,Marriage,Marriage,"Justin Lookadoo, Hayley DiMarco",The Dateable Rules: A Guide to the Sexes
120,Marriage,Marriage,"Justin Lookadoo, Hayley DiMarco",Dateable: Are You? Are They?
121,Christian Living,Christian Living,Charles R. Swindoll,David: A Man of Passion & Destiny
122,Work/Money,Work/Money,Larry Burkett,Debt Free Living
123,Christian Living,Christian Living,"Garry Friesen, J. Robin Maxson",Decision Making and the Will of God: A Biblical Alternative to the Traditional View
124,Ministry,"Personal Growth, Ministry",Charles H. Kraft,Defeating Dark Angels: Breaking Demonic Oppression in the Believer's Life
125,Worship ,Worship ,Cathy Townley,Designing Worship Teams
126,Christian Living,Christian Living,John Piper,Desiring God: Meditations of a Christian Hedonist
127,Ministry,Ministry,John C. Maxwell,Developing the Leaders Around You
128,Family,Family,"Charles F. Boyd, Robert A. Rohm","Different Children, Different Needs: Understanding the Unique Personality of Your Child"
129,Christian Living,Christian Living,Philip Yancey,Disappointment with God: Three Questions No One Asks Aloud
130,Christian Living,Christian Living,Juan C Ortiz,Disciple: A handbook for new believers
131,Ministry,Ministry,Walter A. Henrichsen,Disciples Are Made - Not Born: Making Disciples Out of Christians
132,Christian Living,Christian Living,Greg Ogden,Discipleship Essentials: A Guide to Building Your Life in Christ
133,Personal Growth,Personal Growth,"Don Fortune, Katie Fortune",Discover Your God Given Gifts
134,Ministry,Ministry,Lila Joy Quezada,Diving Off the Pedestal
135,Family,Family,James C. Dobson,Dobson 2-in-1: Love Must Be Tough/straight Talk
136,Ministry,Ministry,,Dog Training Fly Fishing and Sharing Christ the 21st Century
137,Ministry,Ministry,Wayne Cordeiro,Doing Church As a Team
138,Christian Living,Christian Living,George Sweeting,Don't Doubt in the Dark
139,Prayer,Prayer,Ronald Dunn,"Don't Just Stand There, Pray Something: The Incredible Power of Intercessory Prayer"
140,Prayer,Prayer,Emilie Griffin,Doors Into Prayer: An Invitation
141,Family,Family,James Dobson,Dr. Dobson Answers Your Questions
142,Christian Living,Christian Living,Charles R. Swindoll,Dropping Your Guard
143,Christian Living,Christian Living,"Terry Jensen, Robert Laflin",Duped!: BARELY A CHRISTIAN WITH SOME OF THE BENEFITS
144,Evangelism,Evangelism,"J. Oswald Sanders, George Verwer",Effective Evangelism / Literature Evangelism
145,Men's,Men's,John Trent,Eight Steps to Intimacy
146,Worship ,Worship ,Dan Kimball,Emerging Worship: Creating Worship Gatherings for New Generations
147,Women's,Women's,"Jean Lush, Patricia Rushford",Emotional Phases of a Woman's Life
148,Christian Living,Christian Living,Thomas Nelson,Emotionally Healthy Spirituality: Unleash A Revolution In Your  Life in Christ
149,Personal Growth,Personal Growth,James Dobson,Emotions Can You Trust Them?
150,Ministry,Ministry,Brian J. Dodd,Empowered Church Leadership: Ministry in the Spirit According to Paul
151,Christian Living,Christian Living,Charles R. Swindoll,Encourage Me
152,Ministry,"Personal Growth, Ministrty","Jr. Lawrence J. Crabb, Dan B. Allender",Encouragement: The Key to Caring
153,Biography,Biography,Steve Saint,End of the Spear
154,Christian Living,Christian Living,Lloyd J. Ogilvie,Enjoying God
155,Christian Living,Christian Living,J. Oswald Sanders,ENJOYING INTIMACY WITH GOD
156,Personal Growth,Personal Growth,Bob Sorge,Envy: The Enemy Within: Overcoming the Hidden Emotion That Holds God's Plans Hostage
157,Christian Living,Christian Living,John Eldredge,Epic: The Story God Is Telling
158,Men's,Men's,"Stephen Arterburn, Fred Stoeker",Every Man's Challenge: How Far Are You Willing to Go for God?
159,Ministry,Ministry,Louis McBurney,Every Pastor Needs a Pastor
160,Women's,"Women's, Marriage",Shannon Ethridge,Every Woman's Marriage: Igniting the Joy and Passion You Both Desire
161,Men's,Men's,"Stephen Arterburn, Fred Stoeker, Mike Yorkey",Every Young Man's Battle: Strategies for Victory in the Real World of Sexual Temptation
162,Reference,Reference,"John Ankerberg, John Weldon",Everything You Ever Wanted to Know About Mormonism
163,Biography,Biography,Darlene Deibler Rose,Evidence Not Seen - A woman’s miraculous Faith in the Jungles of World War II
164,Apologetics,Apologetics,Josh McDowell,"Evidence That Demands a Verdict, Volume 1: Historical Evidences for the Christian Faith"
165,Devotionals,Devotionals,"Henry Blackaby, Richard Blackaby",Experiencing God Day by Day: Devotional
166,Christian Living,Christian Living,Church Recreation Dept. of th Baptist Sunday School Board,Experiencing God; How to Live the Full Adventure of Knowing and Doing the Will of God
167,Grief,Grief,H.  Norman Wright,Experiencing Grief
168,Prayer,Prayer,"Henry Blackaby, Norman Blackaby",Experiencing Prayer with Jesus: The Power of His Presence and Example
169,Evangelism,Evangelism,Alister E. McGrath,Explaining Your Faith: Without Losing Your Friends
170,Culture,Culture,Erwin W Lutzer,Exploding the myths that could destroy America
171,Commentary,Commentary,H. C. LEUPOLD,Exposition of Ecclesiastes
172,Worship ,Worship ,Darlene Zschech,Extravagant Worship
173,Christian Living,Christian Living,Max Lucado,Facing Your Giants: A David and Goliath Story for Everyday People
174,Christian Living,Christian Living,"Paul Tokunaga, Kevin Blue, Amy Brooke, Robbie F. Castleman, Bobby Gross, Jon Tran",Faith on the Edge: Daring to Follow Jesus
175,Ministry,Ministry,Russell  Jeung,Faithful Generations: Race and New Asian American Churches
176,Marriage,Marriage,"Doug Jensen, BJ Jensen",Famous Lovers in the Bible: And Marriage-Building Secrets We Learn from Their Relationships
177,Women's,"Family, Women's",Beth Moore,Feathers from My Nest: A Mother's Reflections
178,Compassion/Social Justice,Compassion/Social Justice,Tom Davis,Fields of the Fatherless: Discover the Joy of Compassionate Living
179,Apologetics,"Apologetics, Christian Living",John Piper,Fifty Reasons Why Jesus Came to Die
180,Grief,"Christian Living, grief",Gwen Waller,Finding Comfort in God's Embrace
181,Christian Living,Christian Living,Brian D. McLaren,Finding Faith: A Self-Discovery Guide for Your Spiritual Quest
182,Biography,Biography,Kelly Monroe,Finding God at Harvard
183,Personal Growth,Personal Growth,Larry Crabb,Finding God: Moving Through Your Problems Toward Finding God
184,Marriage,Marriage,"Eric Wilson, Alex Kendrick, Stephen Kendrick",Fireproof
185,Christian Living,Christian Living,John White,Flirting With the World: A Challenge to Loyalty
186,Christian Living,"Christian Living, ministry",Jan D Hettinga,Follow Me: Experience the Loving Leadership of Jesus
187,Christian Living,Christian Living,Floyd McClung,Follow: A Simple and Profound Call to Live Like Jesus
188,Culture,Culture,Lesslie Newbigin,Foolishness to the Greeks: The Gospel and Western Culture
189,Missions,Missions,"Brother Andrew, Verne Becker",For the Love of My Brothers
190,Personal Growth,"Christian Living, Marriage, Personal Growth",Smedes,Forgive and Forget
191,Grief,Grief,Linda Cochrane,Forgiven and Set Free: A Post-Abortion Bible Study for Women
192,Personal Growth,Personal Growth,"David Stoop, James Masteller","Forgiving Our Parents, Forgiving Ourselves: Healing Adult Children of Dysfunctional Families"
193,Christian Living,Christian Living,Francis Chan,Forgotten God: Reversing Our Tragic Neglect of the Holy Spirit
194,Reference,Reference,William Byron Forbush,"Fox's Book Of Martyrs - A History Of The Lives, Sufferings And Triumphant Deaths Of The Early Christian And Protestant Martyrs"
195,Personal Growth,Personal Growth,"David Seamand, David A. Seamands",Freedom from the Performance Trap
196,Christian Living,Christian Living,Richard J Foster,Freedom of simplicity
197,Christian Living,Christian Living,Jack Levison,Fresh Air: The Holy Spirit for an Inspired Life
198,Christian Living,Christian Living,Jim Cymbala,Fresh Faith:  What Happens When Real Faith Ignites God's People
199,Christian Living,Christian Living,"Jim Cymbala, Dean Merrill",Fresh Power: Experiencing the Vast Resources of the Spirit of God
200,Christian Living,Christian Living,"Jim Cymbala, Dean Merrill","Fresh Wind, Fresh Fire"
201,Christian Living,Christian Living,"James Stuart Bell, Anthony P. Dawson",From the Library of C. S. Lewis: Selections from Writers Who Influenced His Spiritual Journey
202,Biography,Biography,"Geoff Benge, Janet Benge",George Muller: The Guardian of Bristol's Orphans
203,Christian Living,"Christian Living, Personal Growth",Beth Moore,Get Out of That Pit: Straight Talk about God's Deliverance
204,Family,Family,"John Trent, Gary Smalley",The Gift of Honor
205,Ministry,Ministry,Nancy Beach,Gifted to Lead: The Art of Leading As a Woman in the Church
206,Ministry,Ministry,Marcia Mitchell,Giftedness: Discovering Your Areas of Strength
207,Worship ,Worship ,Randy Peterson,Giving to the Giver: Worship That Pleases God
208,Compassion/Social Justice,Compassion/Social Justice,Jonathan Martin,Giving Wisely: Killing with Kindness or Empowering Lasting Transformation?
209,Biography,Biography,"Janet Benge, Geoff Benge",Gladys Aylward: The Adventure of a Lifetime
210,Christian Living,Christian Living,"Luis Palau, David Sanford",God Is Relevant: Finding Strength and Peace in Today's World
211,Christian Living,Christian Living,Warren W. Wiersbe,God Isn't in a Hurry: Learning to Slow Down and Live
212,Ministry,Ministry,"Paul Baloche, Jimmy Owens, Carol Owens",God Songs: How to Write & Select Songs for Worship
213,Christian Living,Christian Living,Rick Warren,God's Answers to Life's Difficult Questions
214,Missions,Missions,Miriam Adeney,God's foreign policy
215,Christian Living,Christian Living,Jacki Martin,God's Path to Golden Splendor: The High Calling of Aging Well
216,Culture,Culture,Jim Wallis,God's Politics: Why the Right Gets It Wrong and the Left Doesn't Get It
217,Christian Living,Christian Living,Michele Hershberger,"God's Story, Our Story: Exploring Christian Faith and Life"
218,Women's,Women's,Elizabeth George,God's Wisdom for a Woman's Life: Timeless Principles for Your Every Need
219,Reference,Reference,"Carl F. H. Henry, R. Albert Mohler",Gods of This Age Or... God of the Ages?
220,Grief,Grief,Granger E. Westberg,Good Grief
221,Compassion/Social Justice,Compassion/Social Justice,Gary A. Haugen,Good News about Injustice: A Witness of Courage in a Hurting World
222,Christian Living,Christian Living,Steve McVey,Grace Walk
223,Grief,Grief,Albert Y. Hsu,"Grieving a Suicide: A Loved One's Search for Comfort, Answers & Hope"
224,Christian Living,Christian Living,Charles R. Swindoll,Growing Deep in the Christian Life
225,Ministry,Ministry,"Peter Cha, S. Steve Kang, Helen Lee",Growing Healthy Asian American Churches
226,Ministry,Ministry,"Peter Cha, S. Steve Kang, Helen Lee",Growing Healthy Asian American Churches
227,Christian Living,Christian Living,Charles R. Swindoll,Growing Strong in the Seasons of Life
228,Commentary,Commentary,John R. W. Stott,Guard the Truth: The Message of 1 Timothy & Titus
229, Work/Money,"Christian Living, Work/Money",Bob Buford,Half Time: Changing Your Game Plan from Success to Significance
230,Christian Living,Christian Living,Charles R. Swindoll,Hand Me Another Brick
231,Family,Family,"David Sanford, Renee S. Sanford",Handbook on Thriving as an Adoptive Family: Real-Life Solutions to Common Challenges
232,Commentary,"Commentary, Apologetics",Jr. Walter C. Kaiser,Hard Sayings of the Old Testament
233,Reference,Reference,Edwin M Yamauchi,Harper's world of the New Testament
234,Compassion/Social Justice,Compassion/Social Justice,Kay Marshall Strom,Harvest of Hope: Stories of Life-Changing Gifts
235,Women's,"Christian Living, Women's",Joanna Weaver,Having a Mary Heart in a Martha World: Finding Intimacy With God in the Busyness of Life
236,Christian Living,Christian Living,Max Lucado,He Chose The Nails: What God did to Win Your Heart
237,Prayer ,Prayer,J. Powell,He Touched Me My Pilgrimage of Prayer
238,Christian Living,Christian Living,Carol Cymbala,He's Been Faithful
239,Grief,Grief,"Linda Cochrane, Kathy Jones",Healing a Father's Heart: A Post-Abortion Bible Study for Men
240,Personal Growth,Personal Growth,David Seamands,Healing of Memories
241,Christian Living,Prayer,"Henry Blackaby, Richard Blackaby",Hearing God's Voice
242,Biography,Biography,Patsy Oda,Heart's Desire
243,Biography,Biography,"Todd Burpo, Lynn Vincent",Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back
244,Christian Living,Christian Living,Joni Eareckson Tada,Heaven: Your Real Home
245,Ministry,Ministry,Ken Hutcherson,Here Comes the Bride: The Church: What We Are Meant to Be
246,Culture,Culture,Michael J. Gerson,Heroic Conservatism: Why Republicans Need to Embrace America's Ideals
247,Marriage,Marriage,"Gary Smalley, Norma Smalley","Hidden Keys of a Loving, Lasting Marriage"
248,Personal Growth,Personal Growth,Josh McDowell,"His image, my image"
249,Family,"Family, Marriage",Willard F. Jr. Harley,"His Needs, Her Needs for Parents: Keeping Romance Alive"
250,Biography,Biography,Michael Chang,Holding Serve Persevering On And Off The Court
251,Reference,Reference,,Holman Bible Atlas
252,Christian Living,Christian Living,Tim Hansel,Holy Sweat
253,Christian Living,"Christian Living, Personal Growth",Mike Flynn,Holy Vulnerability
254,Family,Family,Brenda Hunter PhD,Home by Choice: Raising Emotionally Secure Children in an Insecure World
255,Christian Living,Christian Living,J. I. Packer,Hot Tub Religion: Christian Living in a Materialistic World
256,Christian Living,Christian Living,Arthur Simon,How Much is Enough?
257,Christian Living,Christian Living,"Charles W. Colson, Nancy Pearcey, Harold Fickett",How Now Shall We Live?
258,Reference,Reference,Dave Veerman,How to Apply the Bible
259,Christian Living,Christian Living,Mike Flynn,How to Be Good Without Really Trying: Letting Jesus Live His Life in You
260,Personal Growth,Personal Growth,"Frank Minirth, Paul D. Meier, Don Hawkins",How to Beat Burnout
261,Reference,Reference,Philip Rosenbaum,How to Enjoy the Boring Parts of the Bible
262,Christian Living,Christian Living,Charles Finney,How to Experience Revival
263,Evangelism,Evangelism,Paul E. Little,How to Give Away Your Faith
264,Family ,Family,William L. Coleman,How to Go Home Without Feeling Like a Child: Resolving Difficult Relationships Between Adult Children & Their Parents
265,Christian Living,Christian Living,Charles Stanley,How To Handle Adversity
266,Ministry,Ministry,Charles And F Hunter,How To Heal The Sick
267,Christian Living,Christian Living,Dr. Charles F. Stanley,How to Listen to God
268,Ministry,Ministry,"Ralph Moore, Ed Stetzer",How to Multiply Your Church: The Most Effective Way to Grow God's Kingdom
269,Missions,Missions,David Mays,How to operate an effective missions leadership team in your church
270,Prayer,Prayer,John Wesley,How to Pray: The Best Of John Wesley
271,Ministry,Ministry,George G. Hunter,How to Reach Secular People
272,Commentary ,Commentary,Joel B. Green,How to Read Prophecy
273,Reference,Reference,"Gordon D. Fee, Douglas Stuart",How to Read the Bible for All Its Worth
274,Commentary,Commentary,Joel B. Green,How to Read the Gospels and Acts
275,Personal Growth,Personal Growth,James B. Richards,How to Stop the Pain
276,Christian Living,"Christian Living, Reference",Kay Arthur,How to Study Your Bible: The Lasting Rewards of the Inductive Method
277,Biography,Biography,"Dr. and Mrs. HOWARD TAYLOR, Gregg Lewis",Hudson Taylor's Spiritual Secret
278,Christian Living,Christian Living,Mr. C. Peter Wagner Ph.D,"Humility: For the LORD takes delight in his people, he crowns the humble with salvation. Psalm 149:4"
279,Marriage,Marriage,"Joshua Harris, Rebecca St. James",I Kissed Dating Goodbye: A New Attitude Toward Relationships and Romance
280,Evangelism,Evangelism,"Don Everts, Doug Schaupp",I Once Was Lost: What Postmodern Skeptics Taught Us About Their Path to Jesus
281,Personal Growth,"Women's, Personal Growth",Patsy Clairmont,I Second That Emotion: Untangling Our Zany Feelings
282,Biography,"Christian Living, Biography",Ann Kimel,i'm out to change my world
283,Women's,"Christian Living, Women's",Poppy Smith,I'm Too Young to Be This Old!
284,Marriage,Marriage,gary smalley,If Only He Knew
285,Christian Living,Christian Living,John Ortberg,"If You Want to Walk on Water, You've Got to Get Out of the Boat"
286,,,,
287,Christian Living,Christian Living,Charles R. Swindoll,Improving Your Serve
288,Christian Living,Christian Living,"Paul Brand, Philip Yancey",In His Image
289,Christian Living,Christian Living,Randy Alcorn,In Light of Eternity: Perspectives on Heaven
290,Women's,Women's,Dr. Brenda Hunter,In the Company of Women: Deepening Our Relationships with the Important Women in Our Lives
291,Missions,Missions,David Bryant,In the gap: What it means to be a world Christian
292,Christian Living,Christian Living,"Philip Yancey, Paul Brand",In the Likeness of God: The Dr. Paul Brand Tribute Edition of Fearfully and Wonderfully Made and In His Image
293,Christian Living,Christian Living,Henri J. M. Nouwen,In the Name of Jesus: Reflections on Christian Leadership
294,Worship ,Worship ,Twila Paris,In This Sanctuary: An Invitation to Worship the Savior
295,Marriage,Marriage,"Chuck Snyder, Barb Snyder",Incompatibility: Still Grounds for a Great Marriage
296,Ministry,Ministry,Mr. Paul K. Jewett,Infant Baptism and the Covenant of Grace
297,Personal Growth,Personal Growth,"Mike T. Flynn, Douglas H. Gregg",Inner Healing: A Handbook for Helping Yourself and Others
298,Personal Growth,Personal Growth,Lawrence Crabb,Inside Out
299,Worship ,Worship ,Matt Redman,Inside Out Worship: Insights for Passionate and Purposeful Worship
300,Prayer,Prayer,Dutch Sheets,Intercessory Prayer: How God Can Use Your Prayers to Move Heaven and Earth
301,Worship,"Christian Living, Prayer, Worship",Pat Chen,Intimacy With the Beloved: A Prayer Journey into the Depths of God's Presence
302,Work/Money,Work/Money,Larry Burkett,Investing for the Future
303,Marriage,Marriage,"Martha Williamson, Jon Anderson",Inviting God to Your Wedding: and Keeping God in Your Marriage
304,Missions,"Christian Living, Missions","Loren Cunningham, Janice Rogers","Is That Really You, God?: Hearing the Voice of God"
305,Christian Living,Christian Living,Tony Campolo,It's Friday but Sunday's Comin
306,Christian Living,Christian Living,Max Lucado,It's NOT About ME: Rescue From the Life We Thought Would Make Us Happy
